case_no,real_verdict,prediction
1,1,1
2,1,1
3,1,1
4,0,0
5,0,1
6,0,1
7,0,1
8,1,1
9,0,1
10,1,1
11,1,1
12,0,1
13,1,1
14,1,1
15,1,1
16,0,1
17,1,1
18,0,1
19,0,0
20,1,1
21,1,1
22,1,1
23,0,1
24,0,0
25,1,1
26,1,0
27,0,0
28,0,1
29,1,1
30,0,1
31,1,1
32,0,1
33,0,0
34,1,1
35,0,0
36,1,1
37,0,1
38,1,1
39,1,1
40,0,1
41,0,1
42,1,1
43,1,1
44,0,1
45,1,0
46,0,1
47,0,1
48,1,1
49,0,1
50,1,1
51,1,1
52,0,1
53,1,1
54,0,1
55,1,1
56,1,1
57,1,1
58,1,1
59,1,0
60,0,1
61,1,0
62,0,0
63,0,1
64,0,0
65,0,1
66,1,1
67,1,1
68,1,0
69,1,0
70,1,1
71,1,1
72,0,1
73,0,1
74,0,0
75,1,1
76,0,0
77,0,1
78,1,1
79,0,0
80,1,1
81,0,1
82,1,1
83,0,0
84,1,1
85,1,0
86,0,1
87,0,1
88,1,0
89,1,0
90,1,0
91,0,1
92,1,0
93,0,1
94,0,1
95,1,1
96,1,0
97,1,1
98,1,1
99,1,1
100,1,1
101,1,1
102,0,0
103,1,0
104,1,1
105,1,1
106,1,1
107,1,1
108,1,1
109,1,1
110,0,1
111,0,1
112,1,1
113,1,1
114,0,1
115,1,0
116,1,1
117,0,1
118,1,1
119,0,1
120,1,1
121,0,1
122,1,1
123,0,1
124,1,1
125,1,1
126,0,1
127,1,1
128,1,0
129,1,1
130,0,1
131,1,1
132,1,1
133,1,1
134,1,1
135,1,1
136,1,1
137,1,1
138,0,1
139,1,1
140,0,1
141,0,1
142,0,1
143,0,0
144,0,1
145,0,1
146,0,1
147,1,1
148,0,1
149,1,1
150,1,1
151,1,1
152,0,1
153,1,1
154,0,1
155,0,0
156,1,1
157,1,1
158,1,1
159,0,0
160,1,1
161,0,1
162,1,1
163,0,1
164,1,1
165,1,1
166,1,1
167,0,1
168,1,1
169,1,1
170,1,1
171,1,0
172,1,1
173,1,1
174,1,1
175,1,1
176,1,0
177,1,0
178,1,1
179,1,0
180,1,1
181,1,1
182,0,1
183,1,1
184,1,0
185,1,0
186,0,1
187,0,1
188,1,1
189,1,1
190,0,1
191,0,1
192,1,1
193,0,0
194,1,1
195,0,1
196,0,1
197,1,1
198,1,1
199,0,1
200,0,1
